City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.9617051,-58.1624465,285.96,91,88,3.92,UY,1691630532
1,corner brook,48.95317,-58.1624465,283.27,94,100,7.2,CA,1691630533
2,cidreira,-30.1657063,-58.1624465,290.29,85,97,4.03,AR,1691630534
3,adamstown,-25.066667,-58.1624465,290.92,96,46,1.29,AR,1691630534
4,maintirano,-18.0608947,-58.1624465,299.95,45,0,0.3,BO,1691630535
5,arraial do cabo,-22.9662839,-58.1624465,294.75,70,0,1.31,PY,1691630536
6,coquimbo,-29.9531928,-58.1624465,289.98,88,99,4.03,AR,1691630536
7,port mathurin,-19.6808372,-58.1624465,300.39,50,62,1.69,BO,1691630538
8,east london,-33.0191604,-58.1624465,287.6,86,100,3.22,UY,1691630539
9,bourg-saint-maurice,45.6185284,-58.1624465,293.57,88,52,7.77,CA,1691630542
10,petropavlovsk-kamchatsky,53.0199838,-58.1624465,284.49,76,100,3.22,CA,1691630543
11,sheregesh,52.9259826,-58.1624465,284.17,75,100,3.76,CA,1691630544
12,port alfred,-33.5981844,-58.1624465,285.7,90,100,3.81,UY,1691630545
13,kununurra,-15.7730916,-58.1624465,301.29,31,50,1.54,BR,1691630547
14,waitangi,-35.2704653,-58.1624465,288.14,85,100,3.15,AR,1691630549
15,san antonio de pale,-1.4046406,-58.1624465,296.77,81,38,0.86,BR,1691630550
16,toliara,-23.354173,-58.1624465,294.24,73,0,1.75,PY,1691630551
17,puerto natales,-51.7262003,-58.1624465,276.79,90,100,4.52,FK,1691630552
18,urupes,-21.2027026,-58.1624465,298.08,56,0,0.3,PY,1691630552
19,kourou,5.1581197,-58.1624465,298.23,84,76,1.47,GY,1691630554
20,jayapura,-2.5387539,-58.1624465,299.81,64,6,0.46,BR,1691630555
21,happy valley-goose bay,53.2964352,-58.1624465,284.18,81,100,2.79,CA,1691630557
22,jwaneng,-24.600417,-58.1624465,291.28,94,2,1.81,AR,1691630558
23,margaret river,-33.9531776,-58.1624465,285.92,91,88,3.91,UY,1691630559
24,edinburgh of the seven seas,-37.0675894,-58.1624465,282.36,94,100,3.89,AR,1691630561
25,volodarskiy,53.292072,-58.1624465,284.2,81,100,2.79,CA,1691630561
26,pandan,-3.2873871,-58.1624465,300.54,60,14,1.51,BR,1691630562
27,ocna mures,46.3814028,-58.1624465,293.28,89,96,9.91,CA,1691630564
28,hermanus,-34.4175,-58.1624465,287.75,86,82,3.93,AR,1691630566
29,tabou,4.4194457,-58.1624465,297.32,80,33,0.34,GY,1691630567
30,geraldton,-28.77035,-58.1624465,290.42,84,100,3.42,AR,1691630568
31,port lincoln,-34.7211905,-58.1624465,288.24,86,100,3.66,AR,1691630568
32,passagem franca,-6.8455026,-58.1624465,301.5,37,54,0.99,BR,1691630569
33,bolekhiv,49.0663203,-58.1624465,286.0,92,100,7.79,CA,1691630570
34,tual,-5.6389933,-58.1624465,301.71,43,66,1.4,BR,1691630571
35,pantai cenang,6.2913362,-58.1624465,300.09,88,21,0.74,GY,1691630571
36,tofol,5.326022,-58.1624465,298.45,82,68,1.42,GY,1691630572
37,karratha,-20.7370067,-58.1624465,298.53,56,0,0.69,PY,1691630573
38,smithers,54.7792074,-58.1624465,284.29,89,100,3.84,CA,1691630574
39,thompson,55.743347,-58.1624465,281.96,91,100,10.77,CA,1691630575
40,codrington,51.508188,-58.1624465,284.34,79,100,6.58,CA,1691630577
41,tiksi,71.636604,-58.1624465,276.85,90,8,3.35,GL,1691630578
42,quatre cocos,-20.2094657,-58.1624465,299.47,53,4,1.33,PY,1691630579
43,tura,47.3900474,-58.1624465,290.2,93,100,17.7,CA,1691630580
44,jiagedaqi,50.4057919,-58.1624465,287.29,82,100,9.47,CA,1691630581
45,hithadhoo,1.7959425,-58.1624465,297.82,78,100,0.87,GY,1691630582
46,la sarre,48.8000956,-58.1624465,286.57,94,100,6.9,CA,1691630583
47,lukolela,-5.0311996,-58.1624465,300.62,53,29,1.34,BR,1691630583
48,avarua,-21.2074736,-58.1624465,298.07,56,0,0.3,PY,1691630584
49,tolanaro,-25.0296943,-58.1624465,290.93,96,40,1.33,AR,1691630584
50,walvis bay,-22.9542501,-58.1624465,294.79,70,0,1.31,PY,1691630585
51,bredasdorp,-34.533055,-58.1624465,288.24,86,100,3.72,AR,1691630586
52,nova vicosa,-17.8907712,-58.1624465,300.31,44,0,0.75,BO,1691630587
53,st. john's,47.5614705,-58.1624465,289.33,94,100,16.79,CA,1691630587
54,yambio,4.5680716,-58.1624465,297.48,81,23,0.32,GY,1691630590
55,lebu,-37.6099644,-58.1624465,282.83,95,100,3.53,AR,1691630591
56,pirae,-17.5696077,-58.1624465,300.61,43,0,1.3,BO,1691630592
57,la passe,46.20351905,-58.1624465,293.67,86,83,8.97,CA,1691630593
58,carnarvon,-24.8826131,-58.1624465,290.99,96,20,1.51,AR,1691630594
59,bengkulu,-3.7922858,-58.1624465,301.99,54,85,1.61,BR,1691630595
60,yakeshi,49.321229,-58.1624465,284.02,89,100,8.41,CA,1691630596
61,mwene-ditu,-7.006496,-58.1624465,301.86,37,33,1.17,BR,1691630597
62,inhambane,-23.865961,-58.1624465,292.83,82,1,1.93,PY,1691630599
63,kavieng,-2.573474,-58.1624465,300.0,64,6,0.42,BR,1691630601
64,tutoia,-2.761413,-58.1624465,299.87,63,8,0.72,BR,1691630602
65,shadrinsk,56.087364,-58.1624465,282.11,91,100,11.22,CA,1691630605
66,talcahuano,-36.7144863,-58.1624465,282.34,94,99,3.65,AR,1691630610
67,stanley,-51.6950575,-58.1624465,276.26,90,100,4.41,FK,1691630613
68,afaahiti,-17.7390418,-58.1624465,300.57,43,0,1.15,BO,1691630614
69,choibalsan,48.0688183,-58.1624465,284.11,97,100,13.14,CA,1691630614
70,nymburk,50.186331,-58.1624465,287.39,83,100,8.95,CA,1691630615
71,necochea,-38.5545494,-58.1624465,283.97,90,100,6.53,AR,1691630616
72,suva,-18.1415884,-58.1624465,299.84,46,0,0.41,BO,1691630620
73,mount pearl,47.518910500000004,-58.1624465,289.71,94,100,17.57,CA,1691630621
74,tyukalinsk,55.870556,-58.1624465,282.05,91,100,10.97,CA,1691630623
75,weno,7.4401133999999995,-58.1624465,302.12,71,93,8.68,GY,1691630623
76,ebon,4.5833333,-58.1624465,297.51,81,22,0.35,GY,1691630624
77,prince george,53.9128645,-58.1624465,285.49,84,100,3.49,CA,1691630627
78,remire-montjoly,4.9050148,-58.1624465,297.09,89,42,1.31,GY,1691630627
79,cadale,2.7616074,-58.1624465,296.34,85,48,1.21,GY,1691630628
80,novovarshavka,54.170616,-58.1624465,284.94,88,100,1.89,CA,1691630630
81,mutuali,-14.8399638,-58.1624465,298.36,37,1,1.63,BR,1691630630
82,samoylovka,51.1860003,-58.1624465,286.97,79,100,10.45,CA,1691630631
83,cargados carajos,-16.2411839,-58.1624465,300.77,33,0,0.76,BO,1691630632
84,penzance,50.1194794,-58.1624465,287.43,83,100,8.79,CA,1691630634
85,jamestown,-15.9277296,-58.1624465,300.68,32,16,1.18,BR,1691630634
86,suncho corral,-27.9341752,-58.1624465,289.63,89,9,3.4,AR,1691630635
87,slyudyanka,51.656769,-58.1624465,282.65,81,100,5.68,CA,1691630636
88,berezovyy,52.8927218,-58.1624465,284.15,75,100,3.99,CA,1691630636
89,papao,12.6918922,-58.1624465,302.6,72,25,6.55,BB,1691630637
90,mount gambier,-37.8246698,-58.1624465,282.48,98,100,2.24,AR,1691630639
91,mendeleyevsk,55.8878706,-58.1624465,282.07,91,100,11.0,CA,1691630639
92,muntok,-2.0672225,-58.1624465,298.8,71,9,0.6,BR,1691630639
93,medicine hat,50.04303,-58.1624465,287.47,84,100,8.6,CA,1691630640
94,tosontsengel,49.4757094,-58.1624465,286.6,87,100,6.55,CA,1691630641
95,georgetown,6.8137426,-58.1624465,300.31,78,56,4.61,GY,1691630531
96,nabire,-3.360285,-58.1624465,300.76,59,16,1.54,BR,1691630643
97,laguna,-28.4837443,-58.1624465,290.57,83,81,3.07,AR,1691630644
98,labasa,-16.4332753,-58.1624465,301.24,34,0,0.73,BO,1691630644
99,vire,48.8517468,-58.1624465,287.06,94,100,7.0,CA,1691630647
100,nadi,-17.7992725,-58.1624465,300.29,43,0,1.0,BO,1691630647
101,uturoa,-16.74372575,-58.1624465,301.23,37,0,1.4,BO,1691630648
102,monte patria,-30.6944769,-58.1624465,287.91,92,7,2.51,AR,1691630649
